,x2,x3,x4,x5,x6,x7,x8,x10,x11,x12,x13,x14,x15
0,0.6240432490695867,0.265047882106056,-0.11421400146924147,-0.04041763353696392,-0.6783086963337945,-0.033550853502292886,0.4034201782917885,0.6239435513404141,-0.11741208095980991,-1.0657121117504889,0.41811658540630586,-0.6986151757654137,1.5776992414197133
1,1.315155458999434,-2.7240744900622977,-1.183854799609224,-0.9424397554342983,0.7842038792177497,-0.029599681713935923,0.04273274147379363,1.3143973554517165,-1.191037027748541,-0.855741436630245,0.5506761606790239,1.5958537415099991,0.2134366483612688
2,-0.16579927656452523,-0.3004617558717407,-1.0675894954635736,-0.35416445854473244,-0.8611227682777376,-0.03299513488439879,-0.3780692681472004,-0.16514651050107446,-1.074338663967157,-1.036184985561692,-0.2446812909572845,-0.9633615892971917,1.1764455375789942
3,-0.758181170790109,-0.38124884701142603,-0.8815650088305332,-0.9228305788713127,0.05294759144197759,-0.023243440285908405,-1.1595587145861892,-0.756964056882191,-0.887621281916943,-0.5178198813585607,0.6169559483153815,-0.3456199577230422,0.05293516682498029
4,-0.4619902236773171,-0.7851843027098522,-1.207107860438354,-1.079703991375197,-0.6783086963337945,-0.0428164034035087,-0.3780692681472004,-0.46105528369163296,-1.2143767005048176,-1.5578308815635622,-1.901675981866259,-0.9633615892971917,1.3369470191152812
6,0.0316613548440029,1.234492975782279,-0.6025282788809726,-0.8640030491823562,0.6013898072738065,-0.0024698476413533696,-1.520246151404184,0.0321260049592975,-0.6075452088416219,0.5878069548215125,-0.2446812909572845,-0.25737115321244936,-0.34831853701573884
8,0.32785230195679455,1.1537058846425936,1.5367533173989925,1.528316491501878,-0.17556999848795107,0.012918133521087156,1.6057116343517714,0.328034778149856,1.53970468473584,1.4080049045099805,-0.8411993796845144,0.8898633054252563,-0.9100737223927451
9,0.5253129333653226,-0.21967466473205538,-0.06770787981098136,0.253720014907819,-0.26697703445992266,-0.02429231016198722,-0.3780692681472004,0.525307293610228,-0.0707327354472564,-0.5735933419373789,-0.5098004415027206,0.7133656964040705,1.4171977598834262
10,-0.8569114864943731,0.10347369982668542,0.28108803262596943,-0.2757277522927903,0.9670179511616929,-0.007398078202563644,-0.19772554973820294,-0.8556003146123772,0.279362355896895,0.32534361092118963,1.147194249406254,-0.08087354419126414,-0.5890707593201695
11,0.32785230195679455,-0.38124884701142603,0.16482272848031918,0.8027769586714137,-0.26697703445992266,0.002456416165916807,-0.8589858505711935,0.328034778149856,0.1626639921155112,0.8502702987218353,-0.9737589549572324,-1.2281080028289704,-0.9100737223927451
12,-0.36325990797305335,-0.9467584849892225,0.44385945842987984,-0.9620489319972837,-0.3583840704318943,-0.017260488755650224,0.16296188707979192,-0.36241902596144676,0.4427400651908323,-0.1995830768794561,1.4785931875880505,0.5368680873828858,-0.508820018552026
13,4.079604298718825,-1.9969906698051307,0.1415696676511891,0.23411083834483334,-0.08416296251597981,-0.008630446221221742,-0.07749640413220465,4.076212571896926,0.13932431935923442,0.25972777494611804,0.4843963730426634,-0.9633615892971917,-0.34831853701573884
14,0.32785230195679455,-0.7851843027098522,-0.4862629747353224,-0.9816581085602692,0.5099827713018352,-0.02096093629332309,-1.0994441417831902,0.328034778149856,-0.49084684506023807,-0.3964305848046709,-0.178401503320924,-1.2281080028289704,-0.02731557394316325
16,0.22912198625253047,1.0729187935029083,1.1414512833037815,-0.9816581085602692,0.1443546274139492,-0.021577796374319603,0.8843367607157816,0.22939852041966982,1.142930247879135,-0.4292385027922067,0.020437859588151645,-0.3456199577230422,-0.8298229816246016
17,-0.36325990797305335,0.5881962466647969,0.23458191096770933,0.44981178053767407,-0.4497911064038659,-0.006165833106026033,-0.3780692681472004,-0.36241902596144676,0.23268301038434147,0.3909594468962612,0.21927722249723022,1.1546097189570348,-0.508820018552026
